frame_index,frame_path,sku_index,name,price_full,price_discounted,taxonomy,other_text
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,1,Ozeki Pure Junmai Sake 300ml,,,Alcohol > Sake,Label shows 'Pure' and 'Junmai' on clear bottle; Ozeki brand.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,2,Hakutsuru Draft Sake 300ml,,,Alcohol > Sake,Frosted white bottle with blue cap; text 'Draft' and crane logo 'Hakutsuru'.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,3,Tozai Living Jewel Junmai Sake 300ml,,,Alcohol > Sake,Blue bottle; label with koi fish artwork; 'Tozai' visible.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,4,Sho Chiku Bai Junmai Classic Sake 1.5L,,,Alcohol > Sake,Green bottle; yellow oval 'Sho Chiku Bai' label; 'Junmai/Classic' text visible on labels nearby.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,5,Gekkeikan Traditional Junmai Sake 1.5L,,,Alcohol > Sake,Green bottle with white label and green/red ring; kanji '月桂冠'; 'Traditional' often noted.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg,6,Gekkeikan Haiku Sake 750ml,,,Alcohol > Sake,Label shows 'HAIKU'; green bottle; typically by Gekkeikan.
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg,1,Tozai Well of Wisdom Junmai Ginjo Sake 300ml,,,Beverages > Alcohol > Sake,Blue bottle with koi artwork; shelf tag shows Tozai; price partially visible near $9.xx
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg,2,Ozeki Draft Sake 300ml,,,Beverages > Alcohol > Sake,Frosted white bottle; text: 'DRAFT SAKE' and 'OZEKI'; shelf tag around $5.xx; Manager's Special tag nearby
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg,3,Sho Chiku Bai Classic Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Large green bottle; yellow oval logo reading 'Sho Chiku Bai'; several bottles on lower right; Manager's Special sign on rail
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg,4,Gekkeikan Traditional Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Large green bottle with circular orange-and-green ring label; 'Gekkeikan' and kanji visible on multiple bottles lower left
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg,5,Gekkeikan Haiku Premium Select Sake 750ml,,,Beverages > Alcohol > Sake,Green bottles at right with 'HAIKU' on label; shelf tag shows price around $16.xx
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,1,Kizakura Pineapple Sake 1000ml Carton,,,Alcohol > Sake > Flavored,Green Tetra Pak; shows 'Pineapple Sake' and '1000ml' with cartoon mascot
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,2,Kizakura Yuzu Sake 500ml Bottle,,,Alcohol > Sake > Flavored,Yellow label with citrus graphics; fruit sake
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,3,Kizakura Pear Sake 300ml Bottle,$7.99,,Alcohol > Sake > Flavored,Clear bottle; label reads 'Pear'
